index,departamento,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Desempleo de larga duración,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal,tipo,anio
6,Magdalena,15.5,51.9,13.7,1.9,11.2,19.0,29.2,26.8,3.3,16.2,33.6,17.2,9.5,0.7,88.2,total,2020
7,Magdalena,12.0,42.1,13.3,2.3,11.6,20.3,29.5,22.3,3.6,7.3,32.8,9.4,9.9,0.4,87.5,cabeceras,2020
8,Magdalena,23.2,73.2,14.6,1.2,10.4,16.1,28.5,36.6,2.7,35.7,35.3,34.4,8.6,1.4,89.7,centros_poblados_rural_disperso,2020
9,Magdalena,17.4,51.3,11.3,3.3,13.1,19.2,26.9,14.3,3.3,14.9,32.5,13.5,9.6,1.0,85.6,total,2021
10,Magdalena,13.6,41.7,9.7,1.2,14.8,20.0,27.1,14.8,3.7,6.3,30.3,6.5,10.2,0.5,81.8,cabeceras,2021
11,Magdalena,26.4,74.1,15.1,8.2,8.9,17.3,26.4,13.2,2.5,35.3,37.7,30.0,8.0,2.4,94.8,centros_poblados_rural_disperso,2021
0,Meta,7.5,48.8,7.1,5.7,9.4,6.7,3.9,3.7,1.8,4.4,28.1,16.8,11.9,2.3,77.4,total,2018
1,Meta,5.8,41.3,7.1,5.3,9.5,7.4,2.5,2.8,1.5,0.9,26.8,8.5,11.6,1.8,76.0,cabeceras,2018
2,Meta,13.3,72.9,7.4,6.9,9.1,4.7,8.3,6.6,3.0,15.8,32.1,43.4,12.7,4.0,82.2,centros_poblados_rural_disperso,2018
3,Meta,8.9,48.4,8.8,9.5,12.7,6.7,5.0,3.6,2.3,5.1,26.0,10.8,10.8,2.1,75.8,total,2019
4,Meta,8.1,39.7,10.0,10.4,13.1,7.3,4.6,2.7,2.0,1.8,25.3,5.8,10.6,2.0,74.3,cabeceras,2019
5,Meta,11.4,74.9,5.3,7.0,11.5,4.7,6.3,6.3,3.1,15.2,28.1,26.0,11.1,2.6,80.4,centros_poblados_rural_disperso,2019
6,Meta,6.1,42.4,6.6,2.8,12.3,5.1,5.3,15.6,3.8,5.0,26.0,13.3,8.0,1.4,76.4,total,2020
7,Meta,5.4,35.1,6.4,2.4,12.7,4.9,4.0,12.1,3.3,2.0,25.1,6.6,8.1,1.0,73.3,cabeceras,2020
8,Meta,8.4,65.6,7.1,4.0,11.3,5.6,9.5,26.6,5.4,14.7,28.5,34.6,7.9,2.7,86.3,centros_poblados_rural_disperso,2020
9,Meta,6.3,44.8,6.6,2.0,12.9,6.9,5.5,8.0,4.1,7.2,26.2,12.4,8.7,1.2,72.0,total,2021
10,Meta,4.9,37.5,6.5,2.1,13.7,6.6,3.9,7.2,3.7,3.0,24.5,5.9,8.8,0.9,69.7,cabeceras,2021
11,Meta,11.2,70.7,6.8,1.4,10.0,8.0,11.2,10.8,5.4,22.3,32.2,35.2,8.5,2.4,80.1,centros_poblados_rural_disperso,2021
0,Nariño,19.0,68.2,6.1,20.5,8.6,7.9,18.6,4.6,5.7,8.0,30.5,21.9,8.3,5.2,90.3,total,2018
1,Nariño,11.9,44.8,5.8,15.5,10.2,9.4,20.1,2.5,12.3,0.7,28.1,5.7,9.4,3.7,80.7,cabeceras,2018
2,Nariño,24.5,86.8,6.3,24.4,7.3,6.6,17.4,6.2,0.4,13.8,32.4,34.8,7.5,6.3,97.9,centros_poblados_rural_disperso,2018
3,Nariño,13.2,67.6,4.2,8.0,9.6,7.9,16.9,3.1,4.4,8.0,27.9,23.0,6.3,4.6,89.1,total,2019
4,Nariño,8.2,45.2,4.5,9.9,11.3,10.0,18.7,2.5,9.8,2.0,24.9,14.0,6.8,2.9,78.1,cabeceras,2019
5,Nariño,17.3,85.4,4.0,6.5,8.3,6.2,15.4,3.5,0.1,12.7,30.4,30.1,5.9,6.1,97.9,centros_poblados_rural_disperso,2019
6,Nariño,13.2,61.8,5.5,6.3,10.5,7.7,18.5,23.0,5.1,6.6,26.4,22.7,7.1,3.4,88.8,total,2020
7,Nariño,8.1,40.4,4.7,3.0,12.1,8.9,17.2,13.3,10.5,2.2,23.4,10.3,8.8,1.1,80.0,cabeceras,2020
8,Nariño,17.3,79.4,6.2,9.1,9.1,6.7,19.5,31.1,0.6,10.2,28.8,32.8,5.8,5.2,95.9,centros_poblados_rural_disperso,2020
9,Nariño,12.7,60.4,7.3,4.5,11.2,6.6,19.1,4.6,4.6,5.4,24.2,26.7,7.6,2.5,88.8,total,2021
10,Nariño,6.1,38.0,7.0,4.3,11.7,10.5,19.7,3.4,9.7,1.5,21.3,13.4,7.1,1.6,78.4,cabeceras,2021
11,Nariño,17.9,78.0,7.6,4.8,10.8,3.6,18.6,5.5,0.6,8.5,26.4,37.1,8.0,3.3,96.9,centros_poblados_rural_disperso,2021
0,Norte de Santander,12.9,53.5,9.6,17.7,11.2,15.4,9.0,4.7,3.6,5.5,29.9,11.9,17.6,3.1,85.1,total,2018
1,Norte de Santander,10.5,45.0,9.4,20.9,11.9,15.7,4.0,4.1,4.3,2.7,27.9,1.1,18.3,2.5,82.2,cabeceras,2018
2,Norte de Santander,21.9,85.9,10.2,5.6,8.6,13.9,28.0,6.8,0.9,15.9,37.4,52.9,15.0,5.4,96.2,centros_poblados_rural_disperso,2018
3,Norte de Santander,10.3,48.8,8.5,6.4,10.6,13.7,9.0,4.7,4.1,4.6,28.8,13.5,17.5,3.2,83.7,total,2019
4,Norte de Santander,7.2,40.0,8.6,6.3,11.7,14.2,5.3,4.0,4.7,2.1,27.5,3.8,18.1,2.6,80.8,cabeceras,2019
5,Norte de Santander,22.7,83.3,8.2,6.8,6.3,11.8,23.7,7.5,1.4,14.1,34.0,51.8,15.0,5.3,95.1,centros_poblados_rural_disperso,2019
6,Norte de Santander,9.8,50.8,9.8,7.6,12.0,14.3,9.0,16.5,5.1,6.5,27.3,12.3,17.5,2.6,85.5,total,2020
7,Norte de Santander,8.7,42.4,9.7,9.0,13.0,15.8,4.4,12.7,6.1,3.7,26.6,0.2,17.7,2.4,82.6,cabeceras,2020
8,Norte de Santander,14.0,81.8,10.1,2.7,8.0,8.6,26.1,30.9,1.4,16.7,29.7,57.5,16.8,3.5,96.2,centros_poblados_rural_disperso,2020
9,Norte de Santander,9.7,48.0,10.0,6.5,9.3,13.9,6.6,10.1,2.3,4.0,28.2,13.5,22.7,2.9,86.6,total,2021
10,Norte de Santander,8.1,40.5,9.3,7.5,10.1,14.6,2.7,10.0,2.6,2.0,26.3,0.9,22.5,2.2,83.9,cabeceras,2021
11,Norte de Santander,16.3,79.6,13.1,2.3,6.2,11.2,22.9,10.2,1.3,12.4,36.5,66.0,23.5,5.7,97.6,centros_poblados_rural_disperso,2021
0,Quindío,8.1,44.8,5.7,7.2,16.6,2.7,2.4,1.8,4.0,0.2,21.3,3.1,12.8,1.4,69.4,total,2018
1,Quindío,7.3,41.4,6.0,7.1,17.4,2.8,2.1,1.6,4.2,0.2,21.4,1.4,12.6,1.3,68.3,cabeceras,2018
2,Quindío,14.0,67.5,3.9,7.9,10.8,1.9,4.2,2.8,2.3,0.5,20.6,14.0,14.2,2.3,76.8,centros_poblados_rural_disperso,2018
3,Quindío,7.5,42.0,4.4,5.4,16.5,4.3,1.1,1.9,2.9,0.7,20.1,2.9,12.2,1.7,68.7,total,2019
4,Quindío,6.8,38.7,4.4,5.5,16.9,4.5,0.6,1.9,3.0,0.6,20.1,0.4,12.1,1.8,67.6,cabeceras,2019
5,Quindío,11.8,65.7,4.4,4.7,13.9,2.5,5.0,1.9,2.3,0.9,20.5,20.3,13.0,1.3,76.5,centros_poblados_rural_disperso,2019
6,Quindío,7.5,42.0,5.5,2.2,20.8,4.3,2.1,9.1,3.9,1.5,17.4,3.0,12.6,0.8,73.7,total,2020
7,Quindío,7.1,39.4,5.6,2.3,21.4,4.6,2.0,7.7,4.1,1.5,16.9,1.2,12.5,0.6,73.0,cabeceras,2020
8,Quindío,10.4,63.1,5.2,1.4,16.4,2.1,3.3,20.0,1.8,1.6,21.3,17.3,13.7,2.4,79.7,centros_poblados_rural_disperso,2020
9,Quindío,7.9,41.5,6.2,3.3,18.9,4.3,0.9,2.6,4.1,0.9,18.7,2.6,11.5,1.0,71.4,total,2021
10,Quindío,7.4,39.0,6.1,3.5,19.7,4.5,0.6,2.4,4.1,0.8,18.8,0.6,11.4,1.0,70.7,cabeceras,2021
11,Quindío,11.8,59.9,6.6,1.9,13.4,2.8,3.2,4.0,4.0,1.4,18.0,17.6,12.1,1.4,76.5,centros_poblados_rural_disperso,2021
0,Risaralda,6.8,45.5,7.2,1.9,15.2,3.9,4.0,2.3,1.0,0.3,23.6,5.1,8.4,2.1,68.0,total,2018
1,Risaralda,4.2,38.3,7.6,1.3,16.6,3.9,0.3,1.9,0.4,0.0,22.0,0.0,8.4,1.3,64.1,cabeceras,2018
2,Risaralda,17.3,74.3,5.6,4.5,9.9,3.7,18.8,3.9,3.0,1.4,30.1,25.4,8.7,5.0,83.3,centros_poblados_rural_disperso,2018
3,Risaralda,7.3,47.7,5.9,3.9,15.7,3.4,5.8,1.9,1.7,0.7,21.3,4.8,8.4,1.7,68.5,total,2019
4,Risaralda,5.3,39.9,5.8,2.9,17.0,3.2,0.9,1.6,0.6,0.1,20.2,0.0,7.7,1.3,63.8,cabeceras,2019
5,Risaralda,15.8,79.7,6.3,8.1,10.5,4.0,26.2,2.8,6.1,3.1,25.9,24.5,11.4,3.2,87.9,centros_poblados_rural_disperso,2019
6,Risaralda,6.4,42.7,5.6,0.9,16.4,3.8,4.8,9.2,2.2,0.6,19.8,6.8,9.4,1.0,70.1,total,2020
7,Risaralda,5.2,36.1,5.3,0.8,16.9,4.0,1.3,5.7,1.0,0.4,18.3,0.9,9.2,0.5,66.9,cabeceras,2020
8,Risaralda,11.5,69.2,6.9,1.6,14.5,3.1,18.9,23.0,6.8,1.6,25.7,30.3,9.8,3.2,82.8,centros_poblados_rural_disperso,2020
9,Risaralda,6.2,44.3,6.7,1.5,15.7,3.3,4.4,2.1,1.8,0.7,20.8,4.4,9.2,0.8,70.3,total,2021
10,Risaralda,4.5,39.0,6.4,1.7,16.8,3.1,0.7,1.8,1.4,0.2,19.4,0.7,9.1,0.5,67.7,cabeceras,2021
11,Risaralda,14.1,68.4,7.8,0.8,10.7,4.4,21.0,3.7,3.6,3.0,27.3,21.4,9.4,2.3,82.2,centros_poblados_rural_disperso,2021
0,Santander,9.1,46.8,7.3,1.4,11.6,5.7,5.3,2.7,0.8,3.4,24.7,13.3,10.1,1.6,74.5,total,2018
1,Santander,5.4,35.2,7.3,1.4,12.3,6.3,2.1,2.5,0.8,1.2,24.4,1.9,10.1,1.0,69.9,cabeceras,2018
2,Santander,20.2,82.4,7.2,1.4,9.4,3.9,15.1,3.5,0.7,10.0,25.6,48.0,9.8,3.5,88.3,centros_poblados_rural_disperso,2018
3,Santander,7.8,46.2,8.3,3.8,11.2,7.7,7.6,2.2,1.2,3.7,23.7,15.7,10.8,1.5,75.1,total,2019
4,Santander,5.2,36.5,8.9,4.5,10.9,8.6,4.1,1.7,1.5,0.8,22.6,2.7,11.9,1.0,70.8,cabeceras,2019
5,Santander,15.8,75.8,6.4,1.5,12.2,5.1,18.3,3.6,0.3,12.2,27.1,55.2,7.4,3.2,88.0,centros_poblados_rural_disperso,2019
6,Santander,7.8,43.5,5.5,1.3,13.7,5.1,6.0,12.2,2.2,3.8,25.4,9.8,7.8,0.9,77.4,total,2020
7,Santander,5.7,33.7,5.8,1.1,14.3,5.4,3.4,9.4,2.8,1.2,25.4,0.5,7.7,0.4,72.8,cabeceras,2020
8,Santander,14.4,73.8,4.5,2.0,11.9,4.1,14.2,21.1,0.3,11.6,25.4,38.5,8.1,2.2,91.6,centros_poblados_rural_disperso,2020
9,Santander,6.8,42.3,6.4,1.0,12.5,5.4,6.1,7.4,0.9,3.7,24.2,10.1,11.8,1.7,74.5,total,2021
10,Santander,4.1,32.6,6.6,1.0,12.9,5.3,3.4,6.2,1.0,1.1,22.6,0.5,12.7,1.3,70.1,cabeceras,2021
11,Santander,15.9,75.7,6.0,0.9,10.8,5.6,15.4,11.6,0.7,12.7,29.4,43.0,8.9,3.1,89.5,centros_poblados_rural_disperso,2021
0,Sucre,29.0,60.9,6.7,14.3,8.6,14.3,27.5,4.3,4.1,22.0,36.0,13.7,10.8,4.1,90.2,total,2018
1,Sucre,21.6,48.6,6.7,14.0,9.2,16.3,22.1,3.9,4.2,10.0,33.5,3.1,10.1,4.0,86.2,cabeceras,2018
2,Sucre,41.5,81.6,6.8,14.8,7.8,10.8,36.7,5.0,4.0,42.5,40.4,31.7,12.1,4.2,97.1,centros_poblados_rural_disperso,2018
3,Sucre,26.5,58.7,9.0,7.4,12.5,14.1,25.9,3.5,4.1,21.7,29.9,12.5,9.7,2.4,90.0,total,2019
4,Sucre,18.6,45.7,10.7,7.2,13.3,17.4,18.1,3.4,4.5,10.0,29.3,3.3,9.9,2.4,85.1,cabeceras,2019
5,Sucre,38.3,78.3,6.4,7.7,11.2,9.2,37.7,3.7,3.5,39.3,30.7,26.2,9.4,2.3,97.3,centros_poblados_rural_disperso,2019
6,Sucre,22.8,57.5,9.2,3.6,11.8,14.9,28.8,32.5,5.7,24.4,30.8,10.7,7.2,2.2,90.6,total,2020
7,Sucre,16.5,45.8,9.5,3.6,12.6,17.6,25.8,27.8,6.6,13.1,28.7,3.6,5.8,2.2,86.5,cabeceras,2020
8,Sucre,33.0,76.7,8.7,3.4,10.6,10.3,33.7,40.3,4.2,42.9,34.3,22.3,9.5,2.1,97.2,centros_poblados_rural_disperso,2020
9,Sucre,21.8,56.2,9.2,0.8,12.0,14.7,27.5,7.5,4.8,23.2,32.5,13.1,6.1,1.5,92.1,total,2021
10,Sucre,16.0,45.5,7.3,0.2,13.9,15.9,23.6,7.5,4.1,10.0,31.4,1.9,5.1,1.4,89.1,cabeceras,2021
11,Sucre,31.1,73.7,12.2,1.8,9.1,12.8,33.9,7.7,6.0,44.9,34.2,31.5,7.7,1.7,96.9,centros_poblados_rural_disperso,2021
0,Tolima,11.1,50.2,6.4,10.9,14.2,5.6,8.9,3.3,0.8,3.8,25.6,14.6,10.6,4.3,79.4,total,2018
1,Tolima,6.9,36.2,6.8,8.1,15.8,5.8,1.4,2.4,0.6,0.4,23.2,0.3,9.9,2.8,72.9,cabeceras,2018
2,Tolima,21.0,82.6,5.4,17.5,10.6,5.0,26.3,5.4,1.2,11.8,31.1,47.6,12.3,7.9,94.4,centros_poblados_rural_disperso,2018
3,Tolima,9.3,50.5,5.0,5.2,17.3,5.5,8.8,1.7,1.5,4.9,21.5,14.2,7.3,2.1,77.0,total,2019
4,Tolima,5.6,37.0,5.4,5.9,17.7,6.4,2.0,1.3,1.2,0.8,19.7,0.0,8.1,1.6,69.7,cabeceras,2019
5,Tolima,17.7,80.9,4.1,3.6,16.5,3.5,24.0,2.7,2.3,14.3,25.8,45.9,5.6,3.1,93.4,centros_poblados_rural_disperso,2019
6,Tolima,9.2,51.6,6.4,6.4,15.2,6.2,5.8,14.2,2.2,4.0,22.7,9.7,10.0,2.4,80.4,total,2020
7,Tolima,6.5,39.5,6.4,7.6,16.8,6.8,1.7,9.9,2.6,0.6,20.9,0.0,9.7,1.7,74.4,cabeceras,2020
8,Tolima,15.4,79.1,6.3,3.7,11.6,4.9,15.1,24.1,1.3,11.6,26.7,31.6,10.6,4.2,94.1,centros_poblados_rural_disperso,2020
9,Tolima,9.5,51.1,5.2,2.3,17.5,6.9,8.5,5.0,1.8,4.5,20.5,10.7,7.7,2.4,77.6,total,2021
10,Tolima,6.5,39.7,5.3,2.4,18.7,6.6,3.1,3.9,1.8,1.1,18.6,0.1,7.9,1.4,71.4,cabeceras,2021
11,Tolima,16.7,78.5,5.1,2.3,14.6,7.5,21.5,7.6,1.7,12.5,24.9,36.2,7.2,4.8,92.7,centros_poblados_rural_disperso,2021
0,Valle del Cauca,6.6,41.4,7.6,6.8,13.4,5.5,6.2,2.4,2.2,0.7,24.2,4.7,10.6,2.2,68.5,total,2018
1,Valle del Cauca,5.3,37.2,7.9,6.8,13.9,5.6,3.8,1.9,2.4,0.2,22.9,1.2,10.5,2.0,66.3,cabeceras,2018
2,Valle del Cauca,14.2,66.5,5.9,7.2,10.4,4.4,20.6,4.8,1.3,3.2,32.3,25.9,11.5,3.7,81.4,centros_poblados_rural_disperso,2018
3,Valle del Cauca,7.1,42.3,5.9,2.4,15.0,4.6,6.0,1.9,1.2,0.5,21.7,4.9,9.9,1.7,69.9,total,2019
4,Valle del Cauca,6.2,38.1,5.9,2.3,15.4,4.7,4.2,1.8,1.2,0.3,20.6,2.0,9.6,1.5,68.0,cabeceras,2019
5,Valle del Cauca,12.5,66.7,6.0,3.2,12.6,3.9,16.1,3.0,1.3,1.6,27.9,21.9,11.6,2.6,80.4,centros_poblados_rural_disperso,2019
6,Valle del Cauca,6.0,34.9,6.5,1.2,15.1,4.4,3.0,9.2,1.8,0.8,21.9,3.2,10.1,0.8,67.5,total,2020
7,Valle del Cauca,4.5,31.2,6.5,1.0,15.4,4.3,1.6,8.0,1.8,0.5,21.3,0.1,10.1,0.6,65.6,cabeceras,2020
8,Valle del Cauca,14.8,57.7,6.5,2.1,13.0,4.8,11.7,16.2,1.7,3.1,25.9,22.5,9.7,2.2,79.4,centros_poblados_rural_disperso,2020
9,Valle del Cauca,5.9,37.0,7.9,1.7,15.2,5.5,5.4,3.0,2.1,0.6,23.4,4.1,9.8,1.3,71.1,total,2021
10,Valle del Cauca,5.2,33.7,7.7,1.6,15.3,5.8,4.2,2.6,2.2,0.4,22.8,0.6,9.6,1.1,69.4,cabeceras,2021
11,Valle del Cauca,10.2,57.2,9.0,2.4,14.5,3.9,12.4,5.3,1.5,1.7,26.3,24.9,10.7,2.4,81.4,centros_poblados_rural_disperso,2021
0,Arauca,12.4,59.4,11.1,4.1,12.2,9.7,14.7,5.3,13.1,16.6,29.2,9.4,17.0,2.0,90.3,total,2018
1,Arauca,10.7,50.8,10.7,4.5,12.5,11.4,16.2,5.0,16.2,10.9,29.2,5.6,15.6,2.0,86.8,cabeceras,2018
2,Arauca,15.8,75.8,11.9,3.3,11.7,6.3,11.8,6.1,7.1,27.7,29.3,16.7,19.7,1.9,97.0,centros_poblados_rural_disperso,2018
3,Arauca,10.8,59.0,11.0,0.9,11.1,9.8,10.4,5.4,11.8,13.6,25.3,6.8,20.0,0.8,90.6,total,2019
4,Arauca,8.6,50.3,11.4,0.8,11.0,13.2,11.2,4.9,13.3,7.0,24.5,5.9,20.0,0.7,86.6,cabeceras,2019
5,Arauca,14.7,74.2,10.2,1.1,11.2,4.0,8.9,6.4,9.2,25.2,26.8,8.5,20.0,1.1,97.8,centros_poblados_rural_disperso,2019
6,Arauca,7.6,54.8,8.3,2.4,14.3,9.7,11.1,24.3,12.3,17.1,25.3,5.2,18.0,1.5,93.0,total,2020
7,Arauca,6.5,46.6,7.5,2.2,16.3,12.6,12.9,22.5,14.1,6.9,26.3,3.2,18.8,1.3,89.7,cabeceras,2020
8,Arauca,9.6,69.1,9.6,2.7,10.7,4.7,8.0,27.5,9.1,35.0,23.4,8.6,16.7,2.0,98.6,centros_poblados_rural_disperso,2020
9,Arauca,6.9,54.9,11.6,0.7,11.9,8.9,12.5,9.3,13.3,18.8,26.8,5.8,24.3,1.2,94.7,total,2021
10,Arauca,5.6,46.3,12.0,0.8,12.7,11.8,17.1,9.4,16.0,8.8,29.5,6.9,23.0,0.8,92.3,cabeceras,2021
11,Arauca,9.0,67.9,10.9,0.5,10.8,4.6,5.5,9.2,9.1,34.1,22.7,4.1,26.2,1.7,98.3,centros_poblados_rural_disperso,2021
0,Casanare,8.8,53.2,8.0,8.0,7.1,11.4,6.3,3.9,4.7,5.4,31.0,7.7,10.8,3.4,81.4,total,2018
1,Casanare,6.8,42.7,8.5,8.1,6.8,12.6,5.4,3.2,3.6,2.2,29.9,1.9,10.3,3.2,77.8,cabeceras,2018
2,Casanare,13.5,79.2,6.8,7.6,7.6,8.7,8.5,5.6,7.2,13.3,33.6,21.9,12.1,3.9,90.3,centros_poblados_rural_disperso,2018
3,Casanare,8.4,53.7,8.2,3.6,8.6,9.7,6.9,4.1,4.6,6.4,27.1,8.4,11.1,1.9,80.9,total,2019
4,Casanare,6.5,44.5,8.6,3.5,8.6,10.9,6.9,3.9,4.2,3.3,25.7,1.5,11.4,1.7,76.6,cabeceras,2019
5,Casanare,13.3,77.0,7.2,3.6,8.5,6.4,6.9,4.5,5.8,14.4,30.6,25.7,10.4,2.4,91.8,centros_poblados_rural_disperso,2019
6,Casanare,6.9,50.0,8.4,2.3,12.4,10.0,8.1,18.1,4.7,5.2,28.5,10.4,12.6,1.6,78.0,total,2020
7,Casanare,4.7,41.5,8.7,2.8,11.1,10.9,8.2,13.3,4.1,2.2,27.3,2.1,13.3,1.3,73.0,cabeceras,2020
8,Casanare,12.4,71.7,7.4,1.0,15.9,7.7,8.0,30.1,6.3,12.9,31.8,31.3,10.9,2.3,90.8,centros_poblados_rural_disperso,2020
9,Casanare,6.7,47.7,8.6,1.3,11.6,10.5,7.6,8.6,5.4,6.4,26.6,8.5,10.5,1.6,79.9,total,2021
10,Casanare,4.8,39.2,9.1,1.2,11.6,12.1,7.8,8.0,5.5,3.0,24.3,0.9,10.1,1.2,76.2,cabeceras,2021
11,Casanare,12.2,72.0,7.2,1.5,11.6,6.1,7.2,10.4,5.4,16.0,33.2,30.5,11.6,2.7,90.3,centros_poblados_rural_disperso,2021
0,Putumayo,10.7,62.9,5.6,5.8,12.0,9.4,12.7,5.3,8.8,2.3,29.5,50.3,6.4,2.4,89.9,total,2018
1,Putumayo,7.1,48.3,6.2,4.1,9.5,13.0,9.3,4.6,17.4,2.5,30.7,34.9,6.3,1.8,83.3,cabeceras,2018
2,Putumayo,14.3,77.4,5.0,7.5,14.3,5.9,16.2,6.0,0.3,2.2,28.4,65.5,6.5,3.0,96.5,centros_poblados_rural_disperso,2018
3,Putumayo,10.4,62.9,6.9,5.7,11.0,9.3,13.0,5.0,7.8,1.6,26.4,47.4,8.5,2.1,90.8,total,2019
4,Putumayo,8.1,49.6,7.8,6.2,12.0,13.6,10.8,4.1,15.0,1.1,25.5,35.6,8.9,2.0,85.8,cabeceras,2019
5,Putumayo,12.7,76.4,6.0,5.3,10.1,4.9,15.2,5.8,0.5,2.1,27.3,59.3,8.1,2.1,95.8,centros_poblados_rural_disperso,2019
6,Putumayo,7.9,58.9,7.3,3.4,12.4,5.9,8.4,29.7,8.5,1.6,25.9,37.2,7.4,2.2,90.1,total,2020
7,Putumayo,5.2,46.2,6.1,4.1,14.9,9.3,8.6,22.0,15.9,0.8,24.6,22.8,8.3,1.5,84.3,cabeceras,2020
8,Putumayo,10.9,73.0,8.6,2.6,9.5,2.2,8.3,38.2,0.2,2.6,27.3,53.4,6.5,3.1,96.6,centros_poblados_rural_disperso,2020
9,Putumayo,9.5,57.6,6.8,1.9,11.1,6.1,9.0,5.0,8.6,2.4,22.7,51.9,9.6,2.2,92.5,total,2021
10,Putumayo,6.3,44.7,5.8,1.3,13.0,8.9,8.4,3.9,15.5,1.1,19.6,27.2,10.5,1.3,88.1,cabeceras,2021
11,Putumayo,13.0,71.9,7.9,2.6,9.0,3.0,9.7,6.3,0.9,3.8,26.3,79.3,8.7,3.2,97.3,centros_poblados_rural_disperso,2021
0,San Andrés,1.5,28.4,10.0,1.9,10.0,7.9,71.1,1.2,7.5,0.2,20.1,48.9,4.0,0.4,52.0,total,2018
1,San Andrés,1.5,28.4,10.0,1.9,10.0,7.9,71.1,1.2,7.5,0.2,20.1,48.9,4.0,0.4,52.0,cabeceras,2018
2,San Andrés,,,,,,,,,,,,,,,,centros_poblados_rural_disperso,2018
3,San Andrés,2.0,28.8,10.5,2.7,8.0,11.3,80.8,0.8,9.0,0.6,22.8,69.7,3.2,0.1,50.7,total,2019
4,San Andrés,2.0,28.8,10.5,2.7,8.0,11.3,80.8,0.8,9.0,0.6,22.8,69.7,3.2,0.1,50.7,cabeceras,2019
5,San Andrés,,,,,,,,,,,,,,,,centros_poblados_rural_disperso,2019
6,San Andrés,1.6,24.0,3.2,0.0,16.0,9.8,80.1,23.8,11.7,0.3,21.8,57.1,4.1,0.1,61.2,total,2020
7,San Andrés,1.6,24.0,3.2,0.0,16.0,9.8,80.1,23.8,11.7,0.3,21.8,57.1,4.1,0.1,61.2,cabeceras,2020
8,San Andrés,,,,,,,,,,,,,,,,centros_poblados_rural_disperso,2020
9,San Andrés,1.4,24.2,5.7,0.4,6.8,11.3,72.5,3.2,7.2,0.4,23.1,62.6,3.4,0.2,60.3,total,2021
10,San Andrés,1.4,24.2,5.7,0.4,6.8,11.3,72.5,3.2,7.2,0.4,23.1,62.6,3.4,0.2,60.3,cabeceras,2021
11,San Andrés,,,,,,,,,,,,,,,,centros_poblados_rural_disperso,2021
0,Amazonas,13.1,57.6,12.8,1.5,21.0,16.9,36.2,5.5,13.0,2.8,35.2,72.5,5.3,1.0,84.9,total,2018
1,Amazonas,3.3,33.1,14.4,1.2,19.0,22.7,50.6,3.5,26.4,3.1,33.2,57.0,6.2,0.4,72.8,cabeceras,2018
2,Amazonas,21.3,78.2,11.5,1.7,22.6,12.0,24.0,7.2,1.7,2.4,37.0,85.6,4.5,1.4,95.1,centros_poblados_rural_disperso,2018
3,Amazonas,10.7,49.4,14.6,0.9,21.8,15.4,44.3,5.6,14.9,3.9,33.5,64.0,6.0,0.6,81.9,total,2019
4,Amazonas,3.3,26.4,13.1,0.1,11.7,15.0,62.7,2.5,27.0,5.7,23.8,48.9,5.8,0.4,74.2,cabeceras,2019
5,Amazonas,19.4,76.3,16.4,1.7,33.5,15.8,22.8,9.2,0.8,1.8,44.8,81.6,6.3,0.9,91.0,centros_poblados_rural_disperso,2019
6,Amazonas,5.8,48.2,9.1,0.4,19.7,14.2,34.0,41.0,19.7,4.0,34.4,53.3,5.6,0.5,86.0,total,2020
7,Amazonas,2.8,34.0,6.7,0.5,18.8,14.2,39.9,31.7,30.3,2.8,26.1,35.2,5.0,0.4,79.7,cabeceras,2020
8,Amazonas,9.5,66.4,12.1,0.3,20.9,14.2,26.5,53.0,6.0,5.7,45.1,76.5,6.3,0.6,93.9,centros_poblados_rural_disperso,2020
9,Amazonas,6.9,51.5,10.0,0.9,12.3,17.4,36.6,5.0,22.2,2.1,44.1,44.8,4.7,1.9,82.6,total,2021
10,Amazonas,4.1,39.7,11.5,0.3,9.7,18.1,44.8,5.5,37.5,1.8,38.8,15.4,4.2,1.7,75.5,cabeceras,2021
11,Amazonas,10.5,66.4,8.2,1.7,15.6,16.5,26.3,4.4,3.0,2.4,50.7,81.7,5.4,2.1,91.6,centros_poblados_rural_disperso,2021
0,Guainía,14.8,73.6,17.4,4.9,30.8,31.4,61.0,9.5,22.7,35.5,47.5,65.6,9.4,0.5,86.3,total,2018
1,Guainía,11.0,56.6,9.9,6.8,11.1,23.5,54.2,8.9,34.0,16.2,38.9,58.5,8.5,1.0,75.9,cabeceras,2018
2,Guainía,17.9,87.6,23.6,3.3,47.0,37.9,66.5,10.0,13.4,51.2,54.5,71.4,10.2,0.1,94.8,centros_poblados_rural_disperso,2018
3,Guainía,18.1,67.9,13.6,4.2,40.4,21.4,63.1,9.4,30.1,39.9,41.9,76.0,10.5,0.8,88.3,total,2019
4,Guainía,10.3,47.3,7.7,1.2,9.3,15.4,53.2,3.9,31.7,13.6,32.1,59.5,13.8,0.8,80.2,cabeceras,2019
